routeId,capacity,deliveriesNumber,routeCreationTimestamp
r-shiinc-237243,4,29,"2020-04-29 22:20:50"
r-shiinc-237423,5,73,"2020-04-30 02:15:06"
r-shiinc-237943,4,58,"2020-04-30 17:40:49"
r-shiinc-237944,4,59,"2020-04-30 17:41:50"
r-shiinc-237945,4,57,"2020-04-30 17:41:57"
r-shiinc-237946,4,57,"2020-04-30 17:43:02"
r-shiinc-237948,4,58,"2020-04-30 17:44:30"
r-shiinc-237949,4,54,"2020-04-30 17:44:46"
r-shiinc-237950,4,60,"2020-04-30 17:44:49"
r-shiinc-237953,4,48,"2020-04-30 17:45:10"
r-shiinc-238083,4,38,"2020-04-30 19:07:13"
r-shiinc-238084,4,41,"2020-04-30 19:07:14"
r-shiinc-238085,4,39,"2020-04-30 19:07:39"
r-shiinc-238094,4,18,"2020-04-30 19:53:43"
r-shiinc-238095,4,19,"2020-04-30 19:53:45"
r-shiinc-238097,4,26,"2020-04-30 19:55:04"
r-shiinc-238147,4,29,"2020-04-30 21:51:53"
r-shiinc-238148,4,29,"2020-04-30 21:51:59"
r-shiinc-238149,4,32,"2020-04-30 21:51:59"
r-shiinc-238150,4,34,"2020-04-30 21:51:59"
r-shiinc-238151,4,35,"2020-04-30 21:52:00"
r-shiinc-238152,4,30,"2020-04-30 21:52:05"
r-shiinc-238153,4,29,"2020-04-30 21:52:05"
r-shiinc-238172,4,32,"2020-04-30 22:53:10"
r-shiinc-238238,5,17,"2020-05-01 00:09:16"
r-shiinc-238239,5,19,"2020-05-01 00:09:19"
r-shiinc-238240,5,17,"2020-05-01 00:09:20"
r-shiinc-238256,5,15,"2020-05-01 00:13:17"
r-shiinc-238756,4,19,"2020-05-01 22:38:05"
r-shiinc-238757,4,19,"2020-05-01 22:40:59"
r-shiinc-238759,4,10,"2020-05-01 22:44:38"
r-shiinc-238761,4,19,"2020-05-01 22:47:10"
r-shiinc-238763,3,10,"2020-05-02 02:35:02"
r-shiinc-239119,1,2,"2020-05-02 17:34:03"
r-shiinc-239326,5,16,"2020-05-03 00:09:15"
r-shiinc-239327,5,17,"2020-05-03 00:09:16"
r-shiinc-239775,3,20,"2020-05-03 21:42:42"
r-shiinc-239776,3,22,"2020-05-03 21:42:44"
r-shiinc-239777,3,22,"2020-05-03 21:42:46"
r-shiinc-239778,3,29,"2020-05-03 21:42:46"
r-shiinc-239779,3,23,"2020-05-03 21:42:46"
r-shiinc-239780,3,24,"2020-05-03 21:42:47"
r-shiinc-239781,3,22,"2020-05-03 21:42:47"
r-shiinc-239782,3,20,"2020-05-03 21:42:47"
r-shiinc-239783,3,21,"2020-05-03 21:42:48"
r-shiinc-239784,3,30,"2020-05-03 21:42:49"
r-shiinc-239785,5,16,"2020-05-03 21:54:33"
r-shiinc-239793,5,25,"2020-05-03 22:03:37"
r-shiinc-239794,3,30,"2020-05-03 22:03:58"
r-shiinc-239797,4,19,"2020-05-03 22:05:51"
r-shiinc-239798,3,25,"2020-05-03 22:07:12"
r-shiinc-239831,4,18,"2020-05-03 22:09:30"
r-shiinc-239842,3,25,"2020-05-03 22:11:42"
r-shiinc-239844,4,20,"2020-05-03 22:11:53"
r-shiinc-239858,4,20,"2020-05-03 22:17:45"
r-shiinc-239860,4,8,"2020-05-03 22:19:22"
r-shiinc-239861,5,17,"2020-05-03 22:19:24"
r-shiinc-239866,3,17,"2020-05-03 22:23:39"
r-shiinc-239867,3,17,"2020-05-03 22:24:31"
r-shiinc-239868,3,17,"2020-05-03 22:25:08"
r-shiinc-239870,4,15,"2020-05-03 22:29:22"
r-shiinc-239872,3,13,"2020-05-03 22:34:09"
r-shiinc-239873,4,28,"2020-05-03 22:34:17"
r-shiinc-239882,3,18,"2020-05-03 22:42:02"
r-shiinc-239883,3,21,"2020-05-03 22:42:04"
r-shiinc-239884,3,25,"2020-05-03 22:42:06"
r-shiinc-239885,4,25,"2020-05-03 22:42:06"
r-shiinc-239886,4,31,"2020-05-03 22:42:09"
r-shiinc-239890,3,15,"2020-05-03 22:48:37"
r-shiinc-239891,3,14,"2020-05-03 22:49:31"
